N_chains,N_iter,k_MCMC,theta,lambda_J,valid_models,mean_kendall_tau,topk_jaccard_3,topk_jaccard_5,topk_jaccard_10,top1_agreement
150,500,5000,0.15,0,5,0.9619047619047617,0.4,0.4666666666666666,0.2512772315403894,2
150,500,5000,0.15,0.01,5,0.8851851851851852,0.4,0.3,0.20007092151055,2
150,500,5000,0.2,0,5,0.8407407407407406,0.4,0.26666666666666666,0.22972839853644808,2
150,500,5000,0.2,0.01,5,0.9047619047619047,0.45,0.3285714285714285,0.24321862348178133,3
150,500,10000,0.15,0,5,0.9047619047619047,0.45,0.3285714285714285,0.24321862348178133,3
150,500,10000,0.15,0.01,5,0.9047619047619047,0.45,0.3285714285714285,0.24321862348178133,3
150,500,10000,0.2,0,5,0.9047619047619047,0.45,0.3285714285714285,0.24321862348178133,3
150,500,10000,0.2,0.01,5,0.9047619047619047,0.45,0.3285714285714285,0.24321862348178133,3
150,800,5000,0.15,0,5,0.8544444444444445,0.7,0.41666666666666663,0.3946078431372549,2
150,800,5000,0.15,0.01,5,0.8659595959595959,0.8,0.5333333333333333,0.5803030303030303,4
150,800,5000,0.2,0,5,0.8577777777777778,0.5599999999999999,0.43809523809523804,0.24362745098039212,3
150,800,5000,0.2,0.01,5,0.8577777777777778,0.5599999999999999,0.43809523809523804,0.24362745098039212,3
150,800,10000,0.15,0,5,0.8577777777777778,0.5599999999999999,0.43809523809523804,0.24362745098039212,3
150,800,10000,0.15,0.01,5,0.8577777777777778,0.5599999999999999,0.43809523809523804,0.24362745098039212,3
150,800,10000,0.2,0,5,0.8800000000000001,0.54,0.5464285714285715,0.23914027149321265,3
150,800,10000,0.2,0.01,5,0.8800000000000001,0.54,0.5464285714285715,0.23914027149321265,3
250,500,5000,0.15,0,5,0.9184126984126986,0.54,0.45,0.34931979784920963,3
250,500,5000,0.15,0.01,5,0.8985714285714286,0.62,0.5333333333333333,0.4780513604043016,4
250,500,5000,0.2,0,5,0.9533333333333334,0.7,0.455952380952381,0.28317205670146844,3
250,500,5000,0.2,0.01,5,0.9047619047619048,0.7,0.42261904761904756,0.32108055343349456,3
250,500,10000,0.15,0,5,0.9047619047619048,0.7,0.42261904761904756,0.32108055343349456,3
250,500,10000,0.15,0.01,5,0.8759307359307357,0.8,0.6,0.5208438620203326,4
250,500,10000,0.2,0,5,0.8759307359307357,0.8,0.6,0.5208438620203326,4
250,500,10000,0.2,0.01,5,0.8692640692640691,0.8,0.6,0.48632005249652305,4
250,800,5000,0.15,0,5,0.9785714285714284,0.68,0.4797619047619047,0.3012317747611865,4
250,800,5000,0.15,0.01,5,0.9431313131313133,0.8,0.6,0.5085835732894557,4
250,800,5000,0.2,0,5,0.9431313131313133,0.8,0.6,0.5085835732894557,4
250,800,5000,0.2,0.01,5,0.8522222222222222,1.0,0.580952380952381,0.44637862137862133,5
250,800,10000,0.15,0,5,0.9199999999999999,0.68,0.5214285714285715,0.4230880230880231,4
250,800,10000,0.15,0.01,5,0.9199999999999999,0.68,0.5214285714285715,0.4230880230880231,4
250,800,10000,0.2,0,5,0.9199999999999999,0.68,0.5214285714285715,0.4230880230880231,4
250,800,10000,0.2,0.01,5,0.8800000000000001,1.0,0.5571428571428572,0.4770562770562769,5
350,500,5000,0.15,0,5,0.9666666666666668,0.8,0.45,0.2801120448179272,5
350,500,5000,0.15,0.01,5,0.968888888888889,0.8,0.45,0.26729153199741434,5
350,500,5000,0.2,0,5,0.9488888888888889,0.62,0.3825396825396825,0.23734288587229763,4
350,500,5000,0.2,0.01,5,0.9488888888888889,0.62,0.3825396825396825,0.23080693815987932,4
350,500,10000,0.15,0,5,0.9488888888888889,0.62,0.3825396825396825,0.23080693815987932,4
350,500,10000,0.15,0.01,5,0.9488888888888889,0.62,0.3825396825396825,0.23080693815987932,4
350,500,10000,0.2,0,5,0.9799999999999999,0.62,0.33134920634920634,0.20098039215686275,4
350,500,10000,0.2,0.01,5,1.0,0.62,0.33134920634920634,0.19513243894048848,4
350,800,5000,0.15,0,5,0.9595238095238094,0.6799999999999999,0.4619047619047619,0.2661890397184514,4
350,800,5000,0.15,0.01,5,0.9185714285714285,0.7,0.48571428571428565,0.3668914418914419,3
350,800,5000,0.2,0,5,0.9438095238095239,0.7,0.4261904761904762,0.2585847159376571,3
350,800,5000,0.2,0.01,5,0.9095238095238095,0.7,0.4023809523809524,0.2699059110823817,3
350,800,10000,0.15,0,5,0.95,0.7,0.369047619047619,0.26246498599439777,3
350,800,10000,0.15,0.01,5,0.9155555555555555,0.8,0.46190476190476193,0.3824430471489295,4
350,800,10000,0.2,0,5,0.9571428571428571,0.7,0.369047619047619,0.26810852546146663,3
350,800,10000,0.2,0.01,5,0.9485714285714286,0.7,0.38095238095238093,0.31484593837535013,3
